type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_node_3,0,,1,-2.7947996,4.7487283,9.269451,6479.jpg
image,,0_node_3,0,,1,-2.7883017,4.960808,9.256345,5583.jpg
image,,0_node_3,0,,1,-2.9742982,4.9383645,9.17992,19375.jpg
image,,0_node_3,0,,1,-2.7994037,5.180743,9.099256,14217.jpg
image,,0_node_3,0,,1,-2.8288631,4.932352,9.216472,19623.jpg
image,,0_node_3,0,,1,-3.057213,5.081126,9.118857,19524.jpg
image,,0_node_3,0,,1,-2.9420202,5.1257133,8.986244,18905.jpg
image,,0_node_3,0,,1,-2.841358,4.7321773,9.244808,18678.jpg
image,,0_node_3,0,,1,-2.749253,5.195494,9.199584,10076.jpg
image,,0_node_3,0,,1,-2.8626919,5.208839,9.141741,16022.jpg
image,,0_node_3,0,,1,-2.8594077,5.200205,9.149953,8501.jpg
image,,0_node_3,0,,1,-2.9690595,5.065827,8.958889,14533.jpg
image,,0_node_3,0,,1,-2.8563275,5.2032576,8.8447075,19553.jpg
image,,0_node_3,0,,1,-2.698227,5.2791786,9.0835285,7031.jpg
image,,0_node_2,0,,1,-3.239977,4.854933,8.322954,6473.jpg
image,,0_node_2,0,,1,-3.236719,4.788252,8.377933,18580.jpg
image,,0_node_2,0,,1,-2.9840195,4.776629,8.253648,12288.jpg
image,,0_node_2,0,,1,-3.1432052,4.849516,8.300213,4060.jpg
image,,0_node_2,0,,1,-2.9218078,4.774765,8.188403,7798.jpg
image,,0_node_2,0,,1,-3.2782302,4.7655954,8.250116,18668.jpg
image,,0_node_2,0,,1,-3.37249,4.7323537,8.34179,5758.jpg
image,,0_node_1,0,,1,-3.1223316,5.1053143,8.340168,10328.jpg
image,,0_node_1,0,,1,-3.0917442,5.163252,8.416302,7282.jpg
image,,0_node_1,0,,1,-3.1710699,4.960542,8.571374,10191.jpg
image,,0_node_1,0,,1,-3.11865,5.219689,8.180148,3193.jpg
image,,0_node_1,0,,1,-3.175968,5.163878,8.39844,12348.jpg
image,,0_node_1,0,,1,-2.932561,5.228087,8.357891,10576.jpg
image,,0_node_1,0,,1,-3.040513,5.207489,8.35656,11937.jpg
image,,0_node_1,0,,1,-3.1890404,5.1909437,8.306772,18312.jpg
image,,0_node_1,0,,1,-3.1624796,5.2092967,8.304005,3051.jpg
image,,0_node_1,0,,1,-3.2180133,5.1858616,8.331252,18195.jpg
image,,0_node_1,0,,1,-3.2164428,5.149261,8.394863,16326.jpg
image,,0_node_1,0,,1,-3.234368,5.133919,8.44506,19910.jpg
image,,0_node_1,0,,1,-3.2599092,5.0398626,8.487887,13796.jpg
image,,0_node_1,0,,1,-3.2386324,5.1868577,8.365697,10643.jpg
image,,0_node_4,0,,1,-3.349125,4.731486,8.753332,11855.jpg
image,,0_node_4,0,,1,-3.3825083,4.5523415,8.838827,7374.jpg
image,,0_node_4,0,,1,-3.4325783,4.5524945,9.270487,16902.jpg
image,,0_node_4,0,,1,-3.2652004,4.6104994,9.059584,6629.jpg
image,,0_node_4,0,,1,-3.4310582,4.497489,8.819441,9725.jpg
image,,0_node_4,0,,1,-3.4517148,4.7958107,8.630689,7418.jpg
image,,0_node_4,0,,1,-3.2933452,4.479905,8.763346,14876.jpg
image,,0_node_4,0,,1,-3.352806,4.5811687,8.992025,19260.jpg
image,,0_node_4,0,,1,-3.3492374,4.770585,8.679368,18456.jpg
image,,0_node_4,0,,1,-3.403589,4.5932293,8.753574,1363.jpg
image,,0_node_4,0,,1,-3.2171268,4.4231105,9.225431,8475.jpg
image,,0_node_4,0,,1,-3.3215837,4.420349,9.085214,13538.jpg
image,,0_node_4,0,,1,-3.5112994,4.6968875,8.801739,10842.jpg
image,,0_node_4,0,,1,-3.4649274,4.721959,8.912265,12552.jpg
image,,0_node_4,0,,1,-3.4403486,4.6459804,8.714991,5563.jpg
image,,0_node_4,0,,1,-3.345454,4.6715646,9.090856,12994.jpg
image,,0_node_4,0,,1,-3.3973212,4.7034893,8.876413,9007.jpg
image,,0_node_7,0,,1,-2.0780687,3.518326,9.355676,18252.jpg
image,,0_node_7,0,,1,-2.0964277,3.5127983,9.357957,18743.jpg
image,,0_node_7,0,,1,-2.08354,3.5534704,9.441312,2469.jpg
image,,0_node_7,0,,1,-2.0528848,3.5740404,9.34468,9526.jpg
image,,0_node_7,0,,1,-2.0723531,3.550483,9.368518,11278.jpg
image,,0_node_7,0,,1,-2.1299114,3.5496254,9.417324,12802.jpg
image,,0_node_7,0,,1,-2.148036,3.6447833,9.380173,14231.jpg
