type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_leaf_1,0,2,1,17.559753,7.0949717,0.4664683,12572.jpg
image,,0_leaf_1,0,2,1,16.957146,7.4278173,0.07858064,12826.jpg
image,,0_leaf_1,0,2,1,17.260527,6.8793793,0.3772783,9539.jpg
image,,0_leaf_1,0,2,1,16.71014,7.2544985,-0.090405576,18786.jpg
image,,0_leaf_1,0,2,1,17.022806,6.738352,0.078816205,14423.jpg
image,,0_leaf_1,0,2,1,17.241581,6.8026633,0.16488421,17730.jpg
image,,0_leaf_1,0,2,1,17.369814,7.0461154,0.13879368,6112.jpg
image,,0_leaf_1,0,2,1,17.079931,7.245916,0.3229807,9611.jpg
image,,0_leaf_1,0,2,1,17.261242,7.8304157,0.6156434,15894.jpg
image,,0_leaf_1,0,2,1,17.069162,7.8630195,0.6146471,8537.jpg
image,,0_leaf_1,0,2,1,17.763725,7.1950226,0.5168872,18088.jpg
image,,0_leaf_1,0,2,1,17.735687,7.2936015,0.5770071,13769.jpg
image,,0_leaf_1,0,2,1,16.607933,7.1959467,0.033749916,11659.jpg
image,,0_leaf_1,0,2,1,16.83376,7.5146694,0.021797573,11938.jpg
image,,0_leaf_1,0,2,1,17.648762,7.6001205,0.69381064,3309.jpg
image,,0_leaf_1,0,2,1,16.683327,7.474489,0.04078884,3781.jpg
image,,0_leaf_1,0,2,1,16.592321,7.21244,0.14001149,4146.jpg
image,,0_leaf_1,0,2,1,17.731678,7.0713506,0.3480147,9789.jpg
image,,0_leaf_1,0,2,1,17.247498,7.7595706,0.48327947,5150.jpg
image,,0_leaf_1,0,2,1,16.885,6.805363,-0.053912334,15472.jpg
image,,0_leaf_1,0,2,1,17.363897,7.3423214,1.0098239,9104.jpg
image,,0_leaf_1,0,2,1,16.578554,7.4569273,0.20716877,6441.jpg
image,,0_leaf_1,0,2,1,17.140076,6.7516627,0.1217989,12630.jpg
image,,0_leaf_1,0,2,1,17.262762,6.9185047,0.30855304,12032.jpg
image,,0_leaf_1,0,2,1,17.593182,7.3304863,0.7585315,12370.jpg
image,,0_leaf_1,0,2,1,17.722664,7.216174,0.33396283,17818.jpg
image,,0_leaf_1,0,2,1,17.171171,7.319495,0.06911155,8633.jpg
image,,0_leaf_1,0,2,1,17.42366,6.9439654,0.5930014,11043.jpg
image,,0_leaf_1,0,2,1,17.048857,7.0447617,0.29305086,11716.jpg
